Altium Designer Pick and Place Locations
D:\Altium Designer\PCB\ESP32BoardCV\Project Outputs for ESP32BoardCV\Pick Place\Pick Place for MainPCB(Prototype).csv

========================================================================================================================
File Design Information:

Date:       07/08/26
Time:       19:04
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R15","5K1","TopLayer","RESC1005X37N","385.000","252.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R14","5K1","TopLayer","RESC1005X37N","385.000","145.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R13","10K","TopLayer","RESC1005X37N","856.902","611.886","0","RES SMD 10K OHM 1% 1/16W 0402"
"R12","5K1","TopLayer","RESC1005X37N","430.000","850.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R11","5K1","TopLayer","RESC1005X37N","430.000","758.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R10","4K7","TopLayer","RESC1005X37N","857.740","662.886","0","RES 4.7K OHM 1% 1/16W 0402"
"R8","0R","TopLayer","RESC1005X37N","589.000","591.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R7","27R","TopLayer","RESC1005X37N","538.002","796.558","0","RES 27 OHM 1% 1/16W 0402"
"R6","27R","TopLayer","RESC1005X37N","538.002","745.558","0","RES 27 OHM 1% 1/16W 0402"
"R4","1K","TopLayer","RESC1005X37N","1790.000","795.000","270","RES 1K OHM 1% 1/16W 0402"
"R3","1K","TopLayer","RESC1005X37N","1790.000","205.000","90","RES 1K OHM 1% 1/16W 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1130.137","830.000","0","TRANS NPN 25V 1.5A SOT23-3"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1130.137","685.291","0","TRANS NPN 25V 1.5A SOT23-3"
"J6","FTS-102-01-F-S","TopLayer","HDR_1X2_1.27MM","1400.000","500.000","90","CONN HEADER VERT 2POS 1.27MM"
"J5","FTS-103-01-F-S","TopLayer","HDR_1X3_1.27MM","375.000","500.000","0","CONN HEADER VERT 3POS 1.27MM"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","144.783","222.000","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","FP-2171790001-MFG","144.783","797.000","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","0022284245","BottomLayer","HDR_1X24_2.54MM","1505.000","49.000","90","CONN HEADER VERT 24POS 2.54MM"
"J1","0022284245","BottomLayer","HDR_1X24_2.54MM","1505.000","970.000","90","CONN HEADER VERT 24POS 2.54MM"
"D8","AQ3045-01ETG","TopLayer","SOD882","326.000","163.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D7","AQ3045-01ETG","TopLayer","SOD882","326.000","232.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D6","AQ3045-01ETG","TopLayer","SOD882","334.918","371.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","SOD882","360.000","760.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","SOD882","360.000","842.795","270","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","SOD882","335.749","629.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D2","RED","TopLayer","LED0402R","1730.000","800.000","270","LED RED 0402 SMD"
"D1","GREEN","TopLayer","LED0402G","1730.000","200.000","90","LED YLW-GRN 0402 SMD"
"C16","1uF, 35V","TopLayer","CAPC1005X55N","1660.504","204.050","90","CAP CER 1UF 35V X5R 0402"
"C15","100nF, 50V","TopLayer","CAPC1005X55N","2556.168","865.551","180","CAP CER 0.1UF 50V X7R 0402"
"C14","10uF, 10V","TopLayer","CAPC1005X55N","2469.962","865.551","0","CAP CER 10UF 10V X5R 0402"
"C13","10uF, 10V","TopLayer","CAPC1005X55N","511.000","229.000","270","CAP CER 10UF 10V X5R 0402"
"C12","10uF, 10V","TopLayer","CAPC1005X55N","560.000","229.000","270","CAP CER 10UF 10V X5R 0402"
"C11","4u7, 16V","TopLayer","CAPC1005X55N","560.000","355.000","90","CAP CER 4.7UF 16V X5R 0402"
"C10","100nF, 50V","TopLayer","CAPC1005X55N","445.000","371.000","180","CAP CER 0.1UF 50V X7R 0402"
"C9","100nF, 50V","TopLayer","CAPC1005X55N","539.002","880.000","0","CAP CER 0.1UF 50V X7R 0402"
"C8","100nF, 50V","TopLayer","CAPC1005X55N","537.002","695.558","0","CAP CER 0.1UF 50V X7R 0402"
"C6","100nF, 50V","TopLayer","CAPC1005X55N","924.000","813.000","180","CAP CER 0.1UF 50V X7R 0402"
"C5","100nF, 50V","TopLayer","CAPC1005X55N","2653.026","865.551","180","CAP CER 0.1UF 50V X7R 0402"
"C4","100nF, 50V","TopLayer","CAPC1005X55N","2653.000","133.000","0","CAP CER 0.1UF 50V X7R 0402"
"C3","100nF, 50V","TopLayer","CAPC1005X55N","738.000","613.000","180","CAP CER 0.1UF 50V X7R 0402"
"C2","4u7, 16V","TopLayer","CAPC1005X55N","738.000","564.000","180","CAP CER 4.7UF 16V X5R 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X55N","419.749","630.232","180","CAP CER 0.1UF 50V X7R 0402"
